wfo_taxon_id,wfo_accepted_name,Genus,Family,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),LDMC,SSD used (mg/mm3),logLA,logLDMC,logSLA,logSM,logH,logNmass,species_key
wfo-0000985818,Spiraea hypericifolia,Spiraea,Rosaceae,75.0,21.25,69.93006993,0.979365758,,,0.0,4.31748811353631,,2.6602595372668616,,-0.0208501025468811,3.056356895370426,spiraea hypericifolia
wfo-0000010912,Syneilesis aconitifolia,Syneilesis,Asteraceae,3000.0,,29.48849713,0.3,,,0.0,8.006367567650246,,3.523755019474584,,-1.203972804325936,,syneilesis aconitifolia
wfo-0000459412,Taxus canadensis,Taxus,Taxaceae,,13.4,,1.52,27.0698,,0.0,,,,3.2984187153462385,0.418710334858185,2.5952547069568657,taxus canadensis
wfo-0000146720,Vandenboschia speciosa,Vandenboschia,Hymenophyllaceae,,,,0.137946209,,,0.0,,,,,-1.980891459667817,,vandenboschia speciosa
wfo-0000134016,Vernonanthura nudiflora,Vernonanthura,Asteraceae,487.32,14.4,183.6674104,0.336747852,0.6,,0.0,6.1889209914862064,,1.6946287091407397,-0.5108256237659907,-1.0884208423311608,2.667228206581955,vernonanthura nudiflora
wfo-0000334092,Wendlandia formosana,Wendlandia,Rubiaceae,,20.66,39.5,4.0,,,0.0,8.449642137153958,,3.2314546070750607,,1.3862943611198906,3.0281994636914926,wendlandia formosana
wfo-0000822669,Adenophora liliifolia,Adenophora,Campanulaceae,,,,0.46652857,0.2924,,0.0,,,,-1.2296325511065136,-0.762436017268854,,adenophora liliifolia
wfo-0000936752,Alangium chinense,Alangium,Cornaceae,,25.72230681,36.01008282,14.69693846,52.08,,0.0,9.291239943206495,,3.3239563014073084,3.9527809979003137,2.6876392040666826,3.247358584694381,alangium chinense
wfo-0000983182,Alchemilla filicaulis,Alchemilla,Rosaceae,1206.0,,53.66137418,0.112592474,0.4583,0.294618397,0.0,7.095064377287131,-1.2220743295170775,2.9250618252928104,-0.7802312874670587,-2.183980403876227,,alchemilla filicaulis
wfo-0000212111,Anthyllis montana,Anthyllis,Fabaceae,,24.1,79.44188535,0.063,3.5481,0.2826845,0.0,5.846438775057725,-1.2634238442257686,2.532729526520801,1.2664122489430438,-2.764620552590604,3.1822118404966093,anthyllis montana
wfo-0000539323,Antirrhinum latifolium,Antirrhinum,Plantaginaceae,,,,0.558793253,,,0.0,,,,,-0.5819757257595526,,antirrhinum latifolium
wfo-0000554844,Astrantia maxima,Astrantia,Apiaceae,,,,0.4,2.8,,0.0,,,,1.029619417181158,-0.916290731874155,,astrantia maxima
wfo-0000089399,Atractylis humilis,Atractylis,Asteraceae,161.0,,138.6962552,0.346410162,7.43,,0.0,5.081404364984463,,1.9754689513048576,2.005525858729668,-1.060131766696436,,atractylis humilis
wfo-0001234708,Blechnum capense,Blechnum,Blechnaceae,1734.39,,62.39138314,0.743011724,5.15e-06,,0.0,7.458411045546049,,2.7743281038472825,-12.17651384328863,-0.2970434551156525,,blechnum capense
wfo-0000571881,Bravaisia integerrima,Bravaisia,Acanthaceae,10133.2,,32.36884696,,,,0.0,9.2235724407449,,3.430558832314806,,,,bravaisia integerrima
wfo-0001421877,Terminalia tetraphylla,Terminalia,Combretaceae,2166.49,15.478332,108.8392701,34.3220046,,,0.0,7.680863625429639,,2.217883071263779,,3.535786682004926,2.7394411104179395,terminalia tetraphylla
wfo-0000576338,Bursera tomentosa,Bursera,Burseraceae,,13.7897193,79.4635024,,,,0.0,,,2.532457452043788,,,2.6239233362680885,bursera tomentosa
wfo-0000829226,Campanula tridentata subsp. biebersteiniana,Campanula,Campanulaceae,,22.7,,0.063245553,,,0.0,4.31748811353631,,,,-2.760730462146648,3.122364924487357,campanula tridentata subsp. biebersteiniana
wfo-0000586906,Cardamine heptaphylla,Cardamine,Brassicaceae,28081.25,51.59736376,26.0552371,0.358952718,6.02,0.13,0.0,10.24285737281847,-2.0402208285265546,3.6475364906815537,1.7950872593207297,-1.0245646039030645,3.943470581259902,cardamine heptaphylla
wfo-0000346631,Carex firma,Carex,Cyperaceae,,,87.074,0.077459667,1.11,0.34173,0.0,,-1.0737343274022069,2.440996947148588,0.1043600153242428,-2.5579979038978005,,carex firma
wfo-0000348020,Carex lachenalii,Carex,Cyperaceae,32.0,,,0.144269991,0.3612,,0.0,3.4657359027997265,,,-1.0183234574393067,-1.93606879740749,,carex lachenalii
wfo-0000352308,Carex vaginata,Carex,Cyperaceae,356.18,17.60320184,46.47074332,0.516376578,1.9013,0.344225624,0.0,5.87543622104786,-1.0664579528855322,3.068932340317032,0.6425378627334033,-0.660918977351214,2.868080808225446,carex vaginata
wfo-0000923998,Casearia guianensis,Casearia,Salicaceae,,21.7,40.11685729,10.15706158,4.55,,0.0,8.583428397369728,,3.215958651708317,1.5151272329628591,2.3181691857528084,3.077312260546414,casearia guianensis
wfo-0000061575,Centaurea diffusa,Centaurea,Asteraceae,191.3,16.97,64.81747711,0.274203619,2.2308,0.20976177,0.0,5.253842876446207,-1.561782820787246,2.7361800035010493,0.8023602655332616,-1.2938843135456892,2.831447079246135,centaurea diffusa
wfo-0000596257,Cerastium uniflorum,Cerastium,Caryophyllaceae,82.91,26.15,30.08000471,0.039572049,,0.161933,0.0,4.417755682128127,-1.820572609544565,3.5038946233180632,,-3.2296322432726603,3.263849190510932,cerastium uniflorum
wfo-0000001706,Cirsium obvallatum,Cirsium,Asteraceae,9050.0,,,,,,0.0,9.110520036693972,,,,,,cirsium obvallatum
wfo-1000005669,Miconia octona,Miconia,Melastomataceae,,21.14,37.11643183,4.134972793,0.01,,0.0,9.12284051206183,,3.293695500953864,-4.605170185988091,1.4194807487683978,3.051166980442092,miconia octona
wfo-0000902500,Cochlospermum orinocense,Cochlospermum,Bixaceae,9500.0,,,,,,0.0,9.159047077588632,,,,,,cochlospermum orinocense
wfo-0000213683,Colutea arborescens,Colutea,Fabaceae,,,68.16398379,3.549870484,16.092,,0.0,,,2.685838950545833,2.778322254087542,1.266911119441508,,colutea arborescens
wfo-0000924655,Cornus disciflora,Cornus,Cornaceae,,10.03992032,,,,,0.0,,,,,,2.306569177977111,cornus disciflora
wfo-0000924696,Cornus glabrata,Cornus,Cornaceae,,23.6,40.58441558,2.8,37.72,,0.0,7.27931883541462,,3.204371138774119,3.6301904577652566,1.029619417181158,3.1612467120315646,cornus glabrata
wfo-0000860632,Corynephorus canescens,Corynephorus,Poaceae,33.5,28.6,66.53286615,0.155954604,0.0972,0.347208227,0.0,3.5115454388310208,-1.057830601200173,2.710059225591124,-2.330984567515744,-1.858190314081316,3.353406717825807,corynephorus canescens
wfo-0000932943,Cruciata glabra,Cruciata,Rubiaceae,68.67,17.0,30.40426714,0.179597209,1.43,0.19265,0.0,4.229312422632585,-1.6468802079099705,3.4931723139730404,0.3576744442718159,-1.717038663323873,2.833213344056216,cruciata glabra
wfo-0000628423,Cryptomeria japonica,Cryptomeria,Cupressaceae,8.4,13.76132198,146.2655651,38.6891744,3.0516,,0.0,2.128231705849268,,1.9223313704990448,1.1156660432339371,3.6555598296374976,2.621861902018281,cryptomeria japonica
wfo-0000628992,Cucumis sativus,Cucumis,Cucurbitaceae,,,,1.606052734,15.3329,,0.0,,,,2.730000846552074,0.4737794506019311,,cucumis sativus
wfo-0000008112,Centaurea depressa,Centaurea,Asteraceae,,,,,13.2,,0.0,,,,2.580216829592325,,,centaurea depressa
wfo-0000213656,Chamaecytisus hirsutus,Chamaecytisus,Fabaceae,,37.91191195,32.25911795,0.622422289,6.0445,,0.0,,,3.4339545485683565,1.7991487676599096,-0.4741364953838459,3.635265362178944,chamaecytisus hirsutus
wfo-0000213301,Cytisus striatus,Cytisus,Fabaceae,,,,1.7,6.9937,,0.0,,,,1.9450097438121488,0.5306282510621704,,cytisus striatus
wfo-0000187331,Desmanthus illinoensis,Desmanthus,Fabaceae,20.0,30.26,48.54368932,0.653987767,5.4905,,0.0,2.995732273553991,,3.025291075803536,1.7030193260556308,-0.4246666325928433,3.40982670836021,desmanthus illinoensis
