wfo_accepted_name,EIVEres-L,EIVEres-T,EIVEres-M,EIVEres-R,EIVEres-N,Species name standardized against TPL,Genus,Family,Woodiness,Growth Form,Leaf type,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),SSD observed (mg/mm3),SSD combined (mg/mm3),SSD used (mg/mm3),Leaf area (n.o.),Nmass (n.o.),LMA (n.o.),Plant height (n.o.),Diaspore mass (n.o.),SSD (n.o.),ssd_imputed_used,min_records_6traits,Myco_Group_Final
Allium senescens,8.79163369176248,5.05255034701626,2.0201006102897,6.53786906015863,2.34172468135326,Allium senescens,Allium,Amaryllidaceae,non-woody,herbaceous non-graminoid,broadleaved,359.5,27.29,76.2195122,0.153474015,1.68,NA,0.12701,0.12701,9,9,9,10,3,NA,1,3,NA
Allium sphaerocephalon,8.78647564472383,5.76934590080288,2.58389205457856,7.79540408710081,2.37229442803614,Allium sphaerocephalon,Allium,Amaryllidaceae,non-woody,herbaceous non-graminoid,broadleaved,1940.63,27.03077821,175.4385965,0.322248118,1.451,NA,0.11813,0.11813,17,3,15,19,55,NA,1,3,Low_Confidence
Allium ursinum,2.24762462288798,4.34900360488256,5.26386611858841,7.41949840538265,7.79541282721736,Allium ursinum,Allium,Amaryllidaceae,non-woody,herbaceous non-graminoid,broadleaved,6408.8,36.93096453,27.59698797,0.305592472,5.2528,NA,0.09556275,0.09556275,23,7,27,25,28,NA,1,7,Pure_AM
Alnus cordata,6.88694903613888,4.96027300154275,5.79412679643249,6.37906328838903,7.04783468829551,Alnus cordata,Alnus,Betulaceae,woody,tree,broadleaved,5482.87,27.09478271,44.12085775,18.8405092,3.5062,0.39147303,0.39147303,0.39147303,10,3,10,13,12,1,0,1,Pure_NM
Alnus glutinosa,5.2239689313998,4.23347366525944,7.17138453361833,5.70540601770251,5.86983135207282,Alnus glutinosa,Alnus,Betulaceae,woody,tree,broadleaved,3070.29,30.93823652,68.11272672,17.79813339,1.601,0.459373411,0.459373411,0.459373411,83,61,148,87,57,96,0,57,Facultative_AM_NM
Alnus incana,5.74469651071826,2.96783094677317,6.00105516581732,7.087601860875,5.57793091879195,Alnus incana,Alnus,Betulaceae,woody,shrub/tree,broadleaved,2583.96,33.70232216,55.29773946,9.53491529,0.6649,0.468294779,0.468294779,0.468294779,22,35,34,66,38,4,0,4,Pure_EM
Alopecurus pratensis,6.61065160012315,3.97227268788509,5.27832750008671,5.93865370735383,6.94863454777701,Alopecurus pratensis,Alopecurus,Poaceae,non-woody,herbaceous graminoid,broadleaved,1156.15,23.82351182,39.35483103,0.597360064,0.7868,0.4316,0.4316,0.4316,12,6,37,37,32,6,0,6,Pure_AM
Alternanthera pungens,7.03781091598446,5.51011328552915,2.58975946984374,6.47477747428747,1.81291137831584,Alternanthera pungens,Alternanthera,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,314.16,38.96820338,38.87240437,0.11,0.33,NA,0.205540482,0.205540482,3,3,6,2,2,NA,1,2,NA
Amaranthus deflexus,8.03813663902655,6.5770805376622,3.60783685701312,6.92493565570699,7.89492119738539,Amaranthus deflexus,Amaranthus,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,886.56,43.49264577,28.815,0.320265777,0.4228,NA,0.159191208,0.159191208,10,3,10,17,10,NA,1,3,NA
Amaranthus hybridus,8.29842521084906,5.87252085020722,3.82876453783198,6.71453955165184,7.80838999493827,Amaranthus hybridus,Amaranthus,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,2139.07,35.38,51.69109882,0.67103021,0.4796,NA,0.199238956,0.199238956,1,1,2,19,22,NA,1,1,NA
Amaranthus powellii subsp. bouchonii,7.85272320233151,6.4830302333573,3.67309475217117,7.17608678784237,7.56887410376644,Amaranthus powellii subsp. bouchonii,Amaranthus,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,1820.03,43.57503983,42.46041275,0.527970603,0.3999,NA,0.198843314,0.198843314,10,3,10,10,6,NA,1,3,NA
Amaranthus retroflexus,8.12299703019112,5.61594653863542,3.76871419315988,6.54486080195294,8.4144442284998,Amaranthus retroflexus,Amaranthus,Amaranthaceae,non-woody,herbaceous non-graminoid,broadleaved,3379.06,32.54373277,59.98288243,0.464284504,0.3976,NA,0.209758157,0.209758157,21,7,34,52,53,NA,1,7,Pure_NM
Ambrosia artemisiifolia,8.75576546649191,5.42983373690823,3.40158705050454,6.83793415932156,6.72863681965523,Ambrosia artemisiifolia,Ambrosia,Compositae,non-woody,herbaceous non-graminoid,broadleaved,650.16,25.5,39.86712755,0.694945832,3.9899,NA,0.208260668,0.208260668,31,8,40,66,12,NA,1,8,Facultative_AM_NM
